,IP,Pit,Str,BA,OBP,SLG,OPS,SO
3021,3.0,57.0,31.0,0.202,0.309,0.328,0.638,6.0
3022,3.0,52.0,33.0,0.236,0.316,0.414,0.731,1.0
3023,3.0,43.0,25.0,0.256,0.36,0.489,0.849,2.0
3024,2.0,28.0,19.0,0.253,0.324,0.442,0.766,3.0
3025,5.0,74.0,49.0,0.24,0.32,0.434,0.754,5.0
3026,4.0,62.0,43.0,0.24,0.303,0.398,0.701,6.0
3027,4.1,80.0,50.0,0.24,0.298,0.371,0.668,2.0
3028,5.0,85.0,55.0,0.269,0.328,0.456,0.783,1.0
3029,5.0,100.0,63.0,0.25,0.318,0.429,0.748,2.0
3030,2.0,23.0,17.0,0.262,0.339,0.452,0.791,5.0
3031,5.0,86.0,49.0,0.248,0.326,0.443,0.769,1.0
3032,3.2,55.0,41.0,0.246,0.315,0.424,0.739,1.0
3033,5.1,78.0,56.0,0.253,0.324,0.432,0.756,5.0
3034,6.0,80.0,50.0,0.243,0.322,0.418,0.739,1.0
3035,6.0,87.0,52.0,0.243,0.317,0.399,0.717,5.0
